model,condition,paired_delta
Qwen_Qwen2.5-7B-Instruct,clean_fillers,-1.83
Qwen_Qwen2.5-7B-Instruct,clean_homophone,-0.19
Qwen_Qwen2.5-7B-Instruct,clean_nocase,-2.08
Qwen_Qwen2.5-7B-Instruct,clean_nofunc,0.05
Qwen_Qwen2.5-7B-Instruct,clean_numwords,-0.52
Qwen_Qwen2.5-7B-Instruct,clean_qfirst,0.66
Qwen_Qwen2.5-7B-Instruct,ctrl_option_perm,-0.6
Qwen_Qwen2.5-7B-Instruct,kbd_fatfinger,-0.9
Qwen_Qwen2.5-7B-Instruct,kbd_neighbor,-3.18
Qwen_Qwen2.5-7B-Instruct,kbd_nospace,-0.47
Qwen_Qwen2.5-7B-Instruct,kbd_random,-4.67
Qwen_Qwen2.5-7B-Instruct,kbd_repeat,-1.62
Qwen_Qwen2.5-7B-Instruct,kbd_swap,-1.69
Qwen_Qwen2.5-7B-Instruct,spoken_casual,-4.65
Qwen_Qwen2.5-7B-Instruct,spoken_filler_stripped,-4.53
Qwen_Qwen2.5-7B-Instruct,spoken_formal,-2.55
Qwen_Qwen2.5-7B-Instruct,spoken_recast,-10.01
Qwen_Qwen2.5-7B-Instruct,spoken_reflow,-3.89
Qwen_Qwen2.5-7B-Instruct,spoken_reflow_llama,-3.64
Qwen_Qwen3-8B,clean_fillers,-4.72
Qwen_Qwen3-8B,clean_homophone,-0.38
Qwen_Qwen3-8B,clean_nocase,-1.22
Qwen_Qwen3-8B,clean_nofunc,-0.31
Qwen_Qwen3-8B,clean_numwords,-0.09
Qwen_Qwen3-8B,clean_qfirst,-0.31
Qwen_Qwen3-8B,ctrl_option_perm,-0.8
Qwen_Qwen3-8B,kbd_fatfinger,-1.45
Qwen_Qwen3-8B,kbd_neighbor,-3.39
Qwen_Qwen3-8B,kbd_nospace,0.1
Qwen_Qwen3-8B,kbd_random,-4.03
Qwen_Qwen3-8B,kbd_repeat,-0.45
Qwen_Qwen3-8B,kbd_swap,-0.66
Qwen_Qwen3-8B,spoken_casual,-5.5
Qwen_Qwen3-8B,spoken_filler_stripped,-5.06
Qwen_Qwen3-8B,spoken_formal,-2.36
Qwen_Qwen3-8B,spoken_recast,-12.43
Qwen_Qwen3-8B,spoken_reflow,-4.57
Qwen_Qwen3-8B,spoken_reflow_llama,-6.06
meta-llama_Llama-3.1-8B-Instruct,clean_fillers,-2.39
meta-llama_Llama-3.1-8B-Instruct,clean_homophone,-0.89
meta-llama_Llama-3.1-8B-Instruct,clean_nocase,-2.56
meta-llama_Llama-3.1-8B-Instruct,clean_nofunc,-0.14
meta-llama_Llama-3.1-8B-Instruct,clean_numwords,-0.38
meta-llama_Llama-3.1-8B-Instruct,clean_qfirst,-2.77
meta-llama_Llama-3.1-8B-Instruct,ctrl_option_perm,1.5
meta-llama_Llama-3.1-8B-Instruct,kbd_fatfinger,-1.41
meta-llama_Llama-3.1-8B-Instruct,kbd_neighbor,-3.67
meta-llama_Llama-3.1-8B-Instruct,kbd_nospace,-1.01
meta-llama_Llama-3.1-8B-Instruct,kbd_random,-3.95
meta-llama_Llama-3.1-8B-Instruct,kbd_repeat,-0.64
meta-llama_Llama-3.1-8B-Instruct,kbd_swap,-2.1
meta-llama_Llama-3.1-8B-Instruct,spoken_casual,-4.8
meta-llama_Llama-3.1-8B-Instruct,spoken_filler_stripped,-4.7
meta-llama_Llama-3.1-8B-Instruct,spoken_formal,-1.75
meta-llama_Llama-3.1-8B-Instruct,spoken_recast,-12.22
meta-llama_Llama-3.1-8B-Instruct,spoken_reflow,-3.8
meta-llama_Llama-3.1-8B-Instruct,spoken_reflow_llama,-4.67
microsoft_phi-4,clean_fillers,-1.18
microsoft_phi-4,clean_homophone,-0.19
microsoft_phi-4,clean_nocase,-1.6
microsoft_phi-4,clean_nofunc,0.79
microsoft_phi-4,clean_numwords,-0.12
microsoft_phi-4,clean_qfirst,-1.0
microsoft_phi-4,ctrl_option_perm,0.4
microsoft_phi-4,kbd_fatfinger,-0.73
microsoft_phi-4,kbd_neighbor,-1.96
microsoft_phi-4,kbd_nospace,-0.02
microsoft_phi-4,kbd_random,-1.75
microsoft_phi-4,kbd_repeat,0.56
microsoft_phi-4,kbd_swap,-0.42
microsoft_phi-4,spoken_casual,-4.04
microsoft_phi-4,spoken_filler_stripped,-3.86
microsoft_phi-4,spoken_formal,-2.2
microsoft_phi-4,spoken_recast,-12.08
microsoft_phi-4,spoken_reflow,-3.62
microsoft_phi-4,spoken_reflow_llama,-4.08
mistralai_Mistral-7B-Instruct-v0.3,clean_fillers,-2.43
mistralai_Mistral-7B-Instruct-v0.3,clean_homophone,0.02
mistralai_Mistral-7B-Instruct-v0.3,clean_nocase,-1.22
mistralai_Mistral-7B-Instruct-v0.3,clean_nofunc,-1.15
mistralai_Mistral-7B-Instruct-v0.3,clean_numwords,0.5
mistralai_Mistral-7B-Instruct-v0.3,clean_qfirst,-4.4
mistralai_Mistral-7B-Instruct-v0.3,ctrl_option_perm,0.05
mistralai_Mistral-7B-Instruct-v0.3,kbd_fatfinger,-0.6
mistralai_Mistral-7B-Instruct-v0.3,kbd_neighbor,-2.03
mistralai_Mistral-7B-Instruct-v0.3,kbd_nospace,-0.72
mistralai_Mistral-7B-Instruct-v0.3,kbd_random,-1.54
mistralai_Mistral-7B-Instruct-v0.3,kbd_repeat,-1.13
mistralai_Mistral-7B-Instruct-v0.3,kbd_swap,-1.82
mistralai_Mistral-7B-Instruct-v0.3,spoken_casual,-3.19
mistralai_Mistral-7B-Instruct-v0.3,spoken_filler_stripped,-3.39
mistralai_Mistral-7B-Instruct-v0.3,spoken_formal,-2.59
mistralai_Mistral-7B-Instruct-v0.3,spoken_recast,-2.56
mistralai_Mistral-7B-Instruct-v0.3,spoken_reflow,-2.36
mistralai_Mistral-7B-Instruct-v0.3,spoken_reflow_llama,-1.67
